Alpha Acid Composition,Alpha Acid Composition,Aliases,Beta Acid Composition,Beta Acid Composition,Caryophyllene Oil,Characteristics,Co-Humulone Composition,Co-Humulone Composition,Cone Density,Cone Size,Country,Ease of Harvest,East of Harvest,Farnesene Oil,Growth Rate,Humulene Oil,Humulene Oil Composition,Myrcene Oil,Myrcene Oil Composition,Name,Purpose,Resistant to,Seasonal Maturity,Storability,Style Guide,Substitutes,Susceptible to,Total Oil,Total Oil Composition,Yield Amount,Yield Amount, Style Guide, Substitutes
4.4%-6.7%,,Amos’s Early Bird,1.9%-2.8%,,,"Pleasing, delicate aroma",26%-32%,,,Medium, UK,,,,Moderate to high,,,,,Early Bird,Aroma,,Early,,India Pale Ale,"Kent Golding, Cobb, Bramling Cross","Susceptible to wilt, downy mildew and powdery mildew",,0.8 mL/100g,1500-2000 kg/hectare (1340-1780 lbs/acre),,,
,,,,,,,,,,,UK,,,,,,,,,Early Green,Aroma,,,,,,,,,,,,
4.7%,,,2.2%,,7%, Pleasant continental-style aroma,23%,,,, UK,,,4.6%,Low to moderate,,21.2%,,<50%,Early Prolific,Aroma,Moderately resistant to downy mildew,Early,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.5 mL/100g,560-670 kg/hectare (500-600 lbs/acre),,,
6.1%,,,1.7%,,, Continental-style aroma,30%,,,,UK,,,,Low to moderate,,18.4%,, <42%,Early Promise,Aroma,Moderately resistant to downy mildew,Early,,,,Susceptible to powdery mildew,,0.5 mL/100g,670-900 kg/hectare (600-800 lbs/acre),,,
5%-6%,,"Kent Golding, EKG, Canterbury Golding",2%-3%,,9%,"Aromas of lavender, spice, honey, thyme, earthy flavors",29%,,Loose,Large,,,,0%-1%,High,,27%,,42%,East Kent Golding,Aroma,Moderately resistant to downy mildew,Early,Retains 78% alpha acid after 6 months storage at 20ºC (68ºF),"Pale Ale, Extra Special English Ale, English Dark Ale, English Light Ale, Belgian Ale, Christmas Ale","Whitbread Golding, Progress, Fuggle, First Gold",Susceptible to hop mosaic virus,,0.85 mL/100g,640 kg/hectare (570 lbs/acre),,,
5.15%,,,1.9%-2%,,8%, Pleasant continental-style aroma,25.50%,,,,Japan,,,4.9%-5%,Very high,,25%,,25%,Eastern Green,Aroma,,Mid to late,Retains 83% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.45mL/100g,2110 kg/hectare (1875 lbs/acre),,,
6%,,,3%,,8%,,30%,,,,UK,,,0.2%,,,25%,,50%,Eastwell Golding,Aroma, Tolerant of verticillium wilt,Mid to late,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF)," English Ales, Belgian Ales", Pentham Golding,Moderately susceptible to downy mildew,,1.50 mL/100g,810 kg/hectare (720 lbs/acre),,,
13%-17%,,,7%-8%,,6%-8%,"Flavors of tropical fruit, pineapple, mango. Aromas of pear, watermelon, stone fruit and candy.",28%-33%,,,,US,,,0.1%,,,10%-15%,,55%-60%,El Dorado ®,Bittering & Aroma,,,Retains 60%-75% alpha acid after 6 months storage at 20ºC (68ºF),"Wheat, India Pale Ale","Galena, Simcoe®",,,2.50-3.3 mL/100g,2650-2880 kg/hectare (2300-2500 lbs/acre),,,
13.3%-16.3%,,Stella,4.8%-7.8%,,12%-18%,"Tropical flavors, grapefruit, star anise",34% – 38%,,Compact,,Australia,,,0%-1%,,,16%-22%,,40%-50%,Ella,Aroma,,Late,,"Lager, Pilsner, Pale Ale, Stout",,,,2.4-3.4 mL/100g,,,,
4.65%,,Elsasser,5.78%,,11.6%-11.7%,European noble aroma,20%-30%,,,, France,,,1.7%,Low,,32%,,38%,Elsaesser,Aroma,Moderately resistant to downy mildew,Early,Retains 63% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.28-1.13 mL/100g,810 kg/hectare (720 lbs/acre),,,
14.5%-15.5%,,HBC 366 Cv.,4.5%-5.5%,,,"Notes of lemon and lime citrus, fruits like papaya and apple, green peppers and herbs",32%-38%,,,,US,,,,,,,,,Equinox,Aroma,,,,"IPA, American Ale, Pilsner",,,,2.5-4.5 mL/100g,,,,
4.8%-6.7%,,,3.5%-6.7%,,1.3%,,39%,,,,New Zealand,,,,,,1%,,71%,First Choice,Aroma,,Late,Retains 74% alpha acid after 6 months storage at 20ºC (68ºF),,,Moderately susceptible to downy mildew,,0.51-1.25 mL/100g,900-1570 kg/hectare (800-1400 lbs/acre),,,
2.4%-6.1%,,"Fuggles, Fuggle UK",2.1%-2.8%,,9.1%,,25%-29%,,,,UK,,,4.3%,Low to moderate,,26.6%,,43.4%,Fuggle,Aroma,Resistant to downy mildew,Early,,"English Ale, Porter, Mild Ale, Bitter, Extra Special Bitter, Lambic, Amber Ale, Cask Ale, Stout, Oatmeal Stout, Strong Ale, Nut Brown Ale, Golden Ale, Christmas Ale","Fuggle (US), Willamette, Styrian Golding, Tettnanger, Newport","Moderately susceptible to verticillium wilt, carries the apple and cherry strain of Prunus Necrotic Ringspot virus and the Hop Mosaic virus",,0.44-0.83 mL/100g,1008-1233 kg/hectare (900-1100 lbs/acre),,,
4%-5.5%,,US Fuggle,1.5%-2%,,11%-13%,,25%-33%,,Moderate to compact,Small,US,,,4%-5%,Moderate,,35%-40%,,24%-28%,Fuggle (US),Aroma,Resistant to downy mildew and prunus necrotic ring-spot virus,Early,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),"English Pale Ale, Belgian India Pale Ale, Extra Special Bitter, Brown Ale, Red Ale","Fuggle (UK), Willamette, Styrian Golding, Tettnanger (GR)",,,0.7-1.4 mL/100g,1070-1600 kg/hectare (955-1420 lbs/acre),,,
4.1%-7.7%,,,2.1%-3.9%,,8.1%, Robust woody and fruity aroma,26%,,,,,,,4.1%,Poor to moderate,,24%,,47%,Fuggle H,Aroma,Resistant to downy mildew,Early,Retains 73% alpha acid after 6 months storage at 20ºC (68ºF),"Stout, English Pale Ale, Belgian India Pale Ale, Extra Special Bitter, Brown Ale, Red Ale",, Moderately susceptible to Verticillium wilt,,0.41-1.89 mL/100g,1120-1570 kg/hectare (1000-1400 lbs/acre),,,
 5.6%,,, 3%,,8%,, 26.4%,,,, UK,,,4.2%,,,24%,,48%,Fuggle N,"Aroma, Breeding",Resistant to downy mildew,,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.95 mL/100g, 974 kg/hectare (869 lbs/acre),,,
7%-8%,,,5%-8%,,7%, European-style aroma,21%,,,,Japan,,,12%,Very good,,19%,,50%,Furano Ace,Aroma,Resistant to downy mildew and botrytis, Late,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.53 mL/100g,1040 kg/hectares (925 lbs/acre),,,
7.50%,,,,,,Citrusy-mango aroma,,,,,US,,,,,,,,,Gargoyle,Aroma,,,,,"California Cluster, Ivanhoe",,,,,,,
5.4%,,,4.6%,,5%,,50%,,,,Japan,,,None,Very good,,13%,,57%,Golden Star,Aroma,Resistant to downy mildew,Late,Retains 64% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.63 mL/100g,1790-2240 kg/hectare (1600-2000 lbs/acre),,,
4%-6%,,"US Golding, US Goldings, Northwest Goldings",2%-3%,,13%-16%,"Delicate English-style aromas, fruit, herbs",20%-20%,,Loose,Small,US,Moderate to difficult,,<1%,Moderate,,35%-45%,,25%-35%,Golding (US),Aroma,,Early to mid,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),"Bitter, Pale Ale, Belgian Ale, Belgian IPA, Barley Wine, Imperial Stout, Red Ale, Irish Stout, American Pale Ale","East Kent Golding, Fuggle, Willamette, Progress, Whitbread Golding",,,0.4-1.0 mL/100g,900-1500 kg/hectare (802-1338 lbs/acre),,,
4.9%,," Green Belle, Green Bubble Belle",3.5%,,18%, Pleasing continental aroma,27%,,,,Belgium,,,2.41%,Low to moderate,,32%,,39%,Groene Bel,Aroma,,Mid to late,Retains 58% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.98 mL/100g,825 kg/hectare (740 lbs/acre),,,
3.5%-3.5%,,"Hallertauer, Mittelfrüh, Mittelfrüher, Hallertauer Mittelfrüher, Hallertau Mittelfruh",3.5%-4.5%,,10%-15%,Lightly flowery and spicy aroma,20%-26%,,Loose,Small,Germany,Easy,,0%-1%,Moderate to high,,30%-55%,,35%-44%,Hallertau,Aroma,,Early to mid,Retains 52%-58% alpha acid after 6 months storage at 20ºC (68ºF),"German Pilsner, Pale Ale, Wheat, American Lager","Liberty, Hallertau (US), Hallertauer Tradition","Susceptible to german wilt, downy mildew, powdery mildew and verticillium wilt",,0.6-1.2 mL/100g,800-1100 kg/hectare (700-980 lbs/acre),,,
3.5%-5.5%,,US Hallertau,3.5%-5.5%,,10-12%,"Flowery, delicately spicy",18-24%,,Loose,Small,US,,,< 1%,,,30-38%,,35-44%,Hallertau (US),Aroma,,Early,Retains 52%-58% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner, Bock, Wheat Beer, Kölsch, Munich Helles, Belgian Ale, American Lager","Mount Hood, Liberty, Crystal, Hallertauer Mittelfrüh, Hallertauer Tradition, Ultra","Necrotic ring-spot virus, downey mildew, verticillium wilt and insects",,0.6-1.0 mL/100g,1900-1400 kg/hectare (1695-1240 lbs/acre),,,
9%-12%,,,4.5%-6%,,0%-2%,"Flavors of white-wine and fruit, aromas of cassis, elderflower, grapes, grapefruit and lemongrass.",22%-26%,,,,Germany,,,0%-3.5%,,,0%-3%,,50%-75%,Hallertau Blanc,Aroma,Resistant to downy and powdery mildew,Late,,,Nelson Sauvin,,,0.8-1.5 mL/100g,1150-1600 kg/hectare (1020-1420 lbs/acre),,,
7%-9%,, NZ Hallertau,5.8%-8.5%,,6%-8.2%, NZ Hallertau,28%-35%,, Loose, Medium,New Zealand,, Moderate,5%-6.7%, High,,10%-16.8%,,35%-48%,Hallertauer (New Zealand),Aroma,, Early,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),"Pale Ale, Lager, Pilsner, Bitter, Bock, American Lager","Hallertauer Mittelfrüh, Perle",,,0.9-1.1 mL/100g, 2300-2400 kg/hectare (2052-2141 lbs/acre),,,
7%-10%,, Hallertau Gold,5%-7%,,4.8%, Pleasing continental aroma,20%,,,,Germany,,,0.2%,Moderate to high,,17%,,63%,Hallertauer Gold,Aroma,Resistant to downy mildew and moderately resistant to powdery mildew,Early,Retains 47% alpha acid after 6 months storage at 20ºC (68ºF),American Lager,"Hallertauer Mittelfrüh, Tettnanger, East Kent Golding, Crystal, Mount Hood", Susceptible to Verticillium wilt,,1.78 mL/100g,1345-1565 kg/hectare (1200-1400 lbs/acre),,,
4.6%-7%,,"Tradition, German Tradition, H Tradition",4%-5%,,10%-15%," Earthy, grassy, aromas of nectar fruits",23%-29%,,Compact,Medium,Germany,,Difficult,0%-1%,High,,40%-55%,,20%-25%,Hallertauer Tradition,Aroma,"Resistant to verticillium wilt, downy mildew and powdery mildew",,Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF),American Lager,Retains 65%-70% alpha acid after 6 months storage at 20ºC (68ºF),,,0.9-1.9 mL/100g,1560-1780 kg/hectare (1390-1580 lbs/acre),,,
5.4%-7.3%,,Southern Hallertau,5%-7%,,10%-15%,"Noble-style aroma, mildly floral and spicy",20%-23%,,,,Australia,,,,,,35%-55%,,1%-13%,Helga,Aroma,,,,Ales,Hallertau,,,0.6-1.0 mL/100g,,,,
2%-5%,,"Hersbrucker-G, Hersbrucker Late, Hersbrucker Spaet, Hersbrucker Spat",4%-6%,,7%-15%,"Floral, fruity and spicy aromas",19%-25%,,Moderate,Medium,Germany,Difficult,,0%-1%,Very high,,15%-35%,,10%-25%,Hersbrucker,Aroma,Resistant to verticillium wilt,Late,Retains 55%-65% alpha acid after 6 months storage at 20ºC (68ºF),"Dunkel, Strong Ale, Pilsner, Altbier, Weizenbock, Golden Ale, Marzen, Pale Ale, Wheat, Specialty Ale, Hefeweizen, Light Ale, Lager","Hallertauer Tradition, Spalter Select, Mount Hood, Strisselspalter, Hallertau, Liberty",Susceptible to downy mildew,,0.5-1.3 mL/100g,1400-1800 kg/hectare (1240-1610 lbs/acre),,,
4%-6%,,,5%-7%,,9%,,22%-24%,,,,UK,,,0.2%,Very high,,29%,,46%,Hersbrucker E,Aroma,,Late,Retains 58% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner, Bock, Weizenbock, Wheat Beer, Belgian Ale, Kölsch, Munich Helles","Strisselspalter, Mount Hood",Moderately susceptible to downy mildew,,0.63 mL/100g,700 kg/hectare (620 lbs/acre),,,
4.7%-6%,,,2%-3%,,4%-11%, Pleasing noble aroma,20%-28%,,Moderate,Medium,,,Difficult,0%-1%,Moderate,,10%-27%,,24%-50%,Hersbrucker Pure,Aroma,"Resistant to verticillium wilt, powdery mildew and pernaspora",,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Pilsner, Hefeweizen, Lager","Hersbrucker, Hallertauer Mittelfrüh",,,0.6-1.2 mL/100g,1500-1550 kg/hectare (1330-1390 lbs/acre),,,
5%-6%,,Hersbrucker Alpha,5%-6%,,9%,Pleasing noble characteristics,18%,,,, Germany,,,Trace,High,,10%,,55%,Hersbrucker Red-Stem,Aroma,,Late,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),,,Moderately susceptible to downy mildew,,1.20 mL/100g,1110 kg/hectare (990 lbs/acre),,,
6.9%-7.5%,,Huell Melon,7.3%-7.9%,,5%-10%,"Intensely fruity, flavors and aromas of honeydew melon, strawberry",25%-30%,,,,Germany,,,< 1%,,,10%-20%,,36%,Hüll Melon,Aroma,,,,,,,,0.8 mL/100g,,,,
10.2%,, Hybrid,6.3%,,9%,,32%,,,,South Africa,,,3.9%,High,,3%,,52%,Hybrid-2,Aroma,,Mid to late,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),," Yakima Cluster, California Cluster",Moderately susceptible to downy mildew,,0.91 mL/100g,1570-2240 kg/hectare (1400-2000 lbs/acre),,,
7.3%-8%,,,4.60%,,,Mellow aroma of citrus and pine. Heady floral and herbal notes.,,,,,US,,,,,,,,,Ivanhoe,Aroma,,,,"American Ale, California Common, Stout, India Pale Ale","Galena, Cluster, Northern Brewer",,,,,,,
5.1%,,,2.3%,,10.9%, Pleasing European aroma,32%,,,, UK,,,None, Low,,34%,,40%,Janus,Aroma,Resistant to downy mildew,Very early,Retains 68% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.58 mL/100g,< 1120 kg/hectare (< 1000 lbs/acre),,,
7%-9%,,,4%-6%,,,"Tropical fruit, grapefruit, blackcurrant, hints of lychee",23%-28%,,,,UK,,,0.1-0.2%,,,2%,,45%-50%,Jester®,Aroma,Verticillium Wilt,,,"Pale Ale, IPA","Cascade, Challenger",,,0.6-1.2 mL/100g,,,,
8.6%,, OJ47,3.3%,,7%, Lemon and grapefruit notes,33%,,,,UK,,,Trace Amounts,Moderate to high,,22%,,45%,Keyworth’s Early,Aroma,,,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF), American Ales, Keyworth’s Midseason,Moderately suceptible to downy mildew,,1.39 mL/100g,710 kg/hectare (630 lbs/acre),,,
7.5%,,,3.1%,,10%,,46%,,,,UK,,,Trace Amounts,High to very high,,13%,,56%,Keyworth’s Midseason,Aroma,Moderately resistant to downy mildew,,Retains 45% alpha acid after 6 months storage at 20ºC (68ºF),, Fuggle,,,0.89 mL/100g,1680-2460 kg/hectare (1500-2200 lbs/acre),,,
6.80%,,, 4%-6%,, 11.5%,Intense tropical fuit and pine needle aroma, 21%,, Loose,,New Zealand,,, 0.3%,,, 36.5%,, 35.5%,Kohatu,Aroma,, Early to mid,," Ale, Pale Ale, India Pale Ale",,,, 0.12-1.0 mL/100g,,,,
3.2%-4.1%,,,2.5%-3.5%,,6.3%, Pleasing European aroma,21%-25%,,,, Germany,,,13.3%,Moderate,,22%,,37%,Landhopfen,Aroma, Moderately resistant to downy mildew,Early,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),,," Susceptible to Yellow Fleck, Hop Mosaic virus and Hop Latent virus",,0.37 mL/100g,< 1120 kg/hectare (< 1000 lbs/acre),,,
3%-6%,,,3.5%,,9%-12%,Noble hop characteristics,24%-28%,,Compact,Medium,US,Moderate to easy,,< 1%,Very high,,31%,,46%,Liberty,Aroma,Moderately resistant to downy mildew,Early,Retains 35%-55% alpha acid after 6 months storage at 20ºC (68ºF),"Bock, Lager, Pale Ale","Hallertau, Mount Hood, Tradition",,,1.3 mL/100g,1200-2000 kg/hectare (1070-1780 lbs/acre),,,
3%-5%,,"Lublin, Lubelski",2.5%-4%,,6%-11%, Noble-like character,25%-28%,,Loose,Medium,Czechoslovakia,,Difficult,10%-14%,Moderate,,30%-40%,,22%-35%,Lubelska,Aroma,,Early,Retains 70%-75% alpha acid after 6 months storage at 20ºC (68ºF)," Pilsner, Lager","Saaz, Sterling",,,0.5-1.2 mL/100g,900-1250 kg/hectare (800-1120 lbs/acre),,,
5%-7%,,"Lubelski-Pulawy, Polish Lublin",3%-5%,,4%-6%, Pleasant European characteristics,23%-25%,,,, Poland,,,12%,,,14%,,52%,Lubelska-Pulawy,Aroma,,Early,Retains 55% alpha acid after 6 months storage at 20ºC (68ºF),,"Brewer’s Gold, Nugget, Glacier",,,0.88 mL/100g,340 kg/hectare (310 lbs/acre),,,
4%,," Saazer, Bohemian Early Red",3.3%,,," Mild bitterness, noble aroma",21%,,,,Czech Republic,,,,Low,,,,,Lucan,Aroma,,Early,,,,Moderately susceptible to downy mildew,,,340 kg/hectare (300 lbs/acre),,,
8.5%-10.5%,,,5%-6.5%,,2%,"Tangerine, Citrus",33%,,,,Germany,,,1%,,,5%,,70%,Mandarina Bavaria,Aroma,,,,"Belgian Ale, French Ale","Columbus, Nugget, Cascade (US)",,,2.0 mL/100g,,,,
4.4%-6.7%,," Mathon-White, Mathon Whitebine",1.9%-2.8%,,, Goldings-style aroma,26%-32%,,Compact,Medium, UK,, Moderate,,,,,,,Mathon,Aroma,, Mid to late,,"Extra Special Bitter, Bitter, Pale Ale","Bramling, Kent Golding, Progress, Whitbread Golding", Susceptible to downy and powdery mildew,,0.8 – 1.0 mL/100g,,,,
6.5%-8.5%,,"B Saaz, Belgian Saaz",5%-5.5%,,2%,Tropical fruit and citrus,29%,, Loose, Small to medium,New Zealand,Moderate to difficult,,12.2%, Very high,,3.6%,,47.7%,Motueka,Bittering & Aroma,, Early,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"European Ale, English Ale, Dark Lager, Pilsner, Belgian Ales, Lager, Maibock, Ales","Saaz, Saaz (US), Sterling",,,0.8 mL/100g, 1200-1500 kg/hectare (1071-1338 lbs/acre),,,
4%-8%,,"Mt. Hood, Mt Hood",5%-8%,,7%-16%, Noble hop aroma,21%-23%,,Moderate to compact,Medium,US,Difficult,,0%-1%,Moderate to high,,12%-38%,,30%-40%,Mount Hood,Aroma,,Early to mid,Retains 50%-60% alpha acid after 6 months storage at 20ºC (68ºF),"Hefeweizen, Doppelbock, Russian Imperial Stout, Brown Ale, Golden Ale, Pale Ale, Amber Ale, Weizenbock, India Pale Ale, Holiday Lager, Bock, American Wheat, Alt Munich Helles, American Lager","Crystal, Strisselspalter, Hersbrucker",,,1-1.7 mL/100g,1450-1960 kg/hectare (1290-1750 lbs/acre),,,
,5%-8.1%,Mt. Rainier,,5%-7%,,"Hallertau-like aroma, notes of citrus and licorice",,21%-24%,,,,,,,,,,,,Mount Rainier,Bittering & Aroma, Resistant to downy and powdery mildew,,,,,,,,,," Lager, American Ale, Porter"," Hallertau, Fuggle"
3%-5%,,Nadwislanski,2.5%-5%,,8.2%,Noble aroma characteristics,23%,,,, Poland,,,13.5%,Low,,27%,,32%,Nadwislanska,Aroma,Moderately resistant to downy mildew,Early,Retains 58% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.5 mL/100g,220-450 kg/hectare (200-400 lbs/acre),,,
7.5%,,,3.4%,,11%, Pleasing continental aroma,29%,,,,Uncertain (Belgium or Denmark),,,1.7%,Low to moderate,,27%,,47%,Nordgaard,Aroma,Moderately resistant to tolerant to downy mildew,Early,Retains 79% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.94 mL/100g,340-1230 kg/hectare (300-1100 lbs/acre),,,
10.6%-13.8%,,,3.8%-6.1%,,12%, Notes of spice and citrus,31%,,,,US,,,0.9%,Very high,,12.2%,,40.8%,Olympic,Bittering & Aroma,Moderately resistant to downy mildew and resistant to verticillium wilt,Mid to late,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),"American Lager, American Ale, Pale Ale","Galena, Nugget, Chinook", Carries the Hop Mosaic and American Hop Latent Virus,,0.86-2.55 mL/100g,1790-2460 kg/hectare (1600-2200 lbs/acre),,,
9%-10%,,,3%-4%,,5%,Pleasant European aroma,29%,,,, UK,,,Trace Amounts,Moderate to high,,17%,,53%,Omega,Aroma,Moderately resistant to downy mildew,,Retains 78% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.72 mL/100g,1040 kg/hectare (925 lbs/acre),,,
12%-14%,,,7%-8%,,10.2%,Flavors of lemon citrus and cracked pepper,24%,,Compact,,New Zealand,,,0.3%,High,,32.9%,,33.3%,Pacific Jade,Aroma,,Mid to late,,"Pale Ale, India Pale Ale",Magnum,,,1.4 mL/100g,,,,
5%-6%,,Pacific Hallertau,6%,,16.7%,"Citrusy, spicy, orange and floral aromas",25%,,Loose,Medium,New Zealand,Difficult,,0.2%,Moderate,,50.9%,,12.5%,Pacifica,Aroma,,Early,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Porter,Liberty,,,1.0 mL/100g,1700-1750 kg/hectare (1520-1560 lbs/acre),,,
5.5%-9.5%,,,6%-8%,,16%-18%,"Flavors of nectar fruits and citrus, aromas that are floral, herbaceous and grassy",24%-29%,,Moderate,Medium,US,Difficult,,0%-1%,Moderate to high,,19%-22%,,9%-10%,Palisade®,Aroma,"Resistant to powdery mildew, downy mildew and podoshaera",Mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Golden Ale, Pale Ale, English Ales, American Pale Ale","Styrian Golding, Willamette, Glacier, Chinook",,,1.4-1.6 mL/100g,2400-3400 kg/hectare (2141-3033 lbs/acre),,,
6.9%,,,2%,,9%,,28%,,,, UK,,,Trace Amounts,,,16%,,57%,Petham Golding,Aroma,Moderately resistant to downy mildew and resistant to verticillium wilt,Late,Retains 57% alpha acid after 6 months storage at 20ºC (68ºF),,,Susceptible to hop mosaic virus,,1.15 mL/100g,1345 kg/hectare (1200 lbs/acre),,,
6%,,,3.2%,,,,55%,,,, US,,,,Moderate,,< 5%,,65%-70%,Pocket Talisman,Aroma,Resistant to downy mildew,,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),," Talisman, Cluster",,,0.63 mL/100g,680 kg/hectare (600 lbs/acre),,,
3.4%,," Precoce de Burgnogne, Precoce d’Bourgogne",3.1%,,5.9%,,23%,,,,France,,,10.6%,Low to moderate,,20%,,45%,Precoce de Bourgogne,Aroma,,Early,Retains 61% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.34 mL/100g,1345-1680 kg/hectare (1200-1500 lbs/acre),,,
6%-7.5%,,,2%-3.3%,,10.6%-14%,"Sweet flavor, Fuggle-like aromas of grass, mint and earth. Subtle bitterness.",25%-34%,,,,UK,Moderate to Easy,,< 1%,Low,,36%-47%,,24%-33.5%,Progress,Aroma,Tolerant to downy mildew and verticillium wilt,Very early,Retains 74% alpha acid after 6 months storage at 20ºC (68ºF),"English Bitters, Pale Ale, Porter, Stout, Czech Pilsner, Bock, Cask Ale, Wheat","East Kent Golding, Fuggle",,,0.5-1.2 mL/100g,900-1120 kg/hectare (800-1000 lbs/acre),,,
7%-12%,,,4%-8%,,8.2%," Pleasant European aroma, mildly fruity",27%,, Compact, Small,Belgium,,,0.16%,Moderate to high,,24%-28%,,< 50%,Record,Aroma, Moderately resistant to downy mildew,Early,Retains 58% alpha acid after 6 months storage at 20ºC (68ºF)," Ale, Lager, Pilsner, Wheat, Belgian Ale", Northern Brewer," Infected with Prunus Necrotic Ringspot, Hop Mosaic and Hop Latent virus",,1.82 mL/100g,1345 kg/hectare (1200 lbs/acre),,,
,,,,,,"Spicy, woody aroma and flavor with an undernote of citrus",,,,,Australia,,,,,,,,,Red Earth,Aroma,,,," California Common, American Pale Ale",,,,,,,,
4.5%-6.5%,,D Saaz,4%-5%,,4%,Notes of grapefruit and kumquat,29%-36%,,Loose,,New Zealand,,,1%,,,9%,,68%,Riwaka,Aroma,,Early,,"India Pale Ale, Pilsner, American Pale Ale",Saaz,,,0.8 mL/100g,,,,
2.5%-4.5%,,"Saaz, Czech Saaz, Saazer, Czech Saazer",4%-6%,,6%-9%,"Noble, herbal character",23%-28%,,Loose to moderate,Small to medium,Czech Republic,Moderate,,14%-20%,Moderate,,15%-30%,,25%-40%,Saaz,Aroma,,Mid,Retains 45%-55% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner","Saaz (US), Sterling, Lubelska-Pulawy, Moteuka, Centennial, Amarillo®","Susceptible to downy mildew, powdery mildew and wilt",,0.4-0.8 mL/100g,800-1200 kg/hectare (714-1071 lbs/acre),,,
3%-4.5%,,"US Saaz, American Saaz",3%-4.5%,,7%-11%,"Mild, earthy, spicy, herbal",24%-28%,,Loose to Moderate,Small to medium,US,Moderate,,9%-13%,Low,,23%-40%,,25%-37%,Saaz (US),Aroma,,Early,Retains 45%-55% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner","Saaz, Hallertau, Tettnanger, Lubelska, Sterling",,,0.5-1 mL/100g,600-1000 kg/hectare (540-890 lbs/acre),,,
5%-8%,,,5.3%-8.5%,,4.8%-8.8%,"Soft, herbal, floral, fruity aromas with hints of pepper and spice",18%-24%,,Loose,Small to medium,US,Difficult,,13%-16%,Moderate to high,,23%-26%,,25%-36%,Santiam,Aroma,Resistant to downy mildew,Mid,Retains 40%-50% alpha acid after 6 months storage at 20ºC (68ºF),"American Blonde Ale, American Lager, India Pale Ale, American Pale Ale, Wheat, Bock","Tettnanger, Spalt, Spalter Select, Hallertau, Liberty",Susceptible to powdery mildew,,1.3-1.7 mL/100g,1430-1780 kg/hectare (1280-1580 lbs/acre),,,
2%-4.5%,,Sapphire,4%-7%,,9%-14%,Sweet citrus aromas with hints of tangerine,12%-17%,,,,Germany,,,< 1%,,,20%-30%,,25%-40%,Saphir,Aroma,,Early,,"Pilsner, Lager","Hallertau, Hallertau Tradition, Spalter Select",,,0.8-1.4 mL/100g,1600-1900 kg/hectare (1427-1695 lbs/acre),,,
8%-10%,,Wye Saxon,4%-5%,,5.6%, Pleasant aroma,20%,,,,UK,,,6.7%,Low to moderate,,11.8%,,54%,Saxon,Aroma,Resistant to verticillium wilt,Early,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.95 mL/100g,500 kg/hectare (450 lbs/acre),,,
3%-4%,,"Silver Hop, Silver",3%,,8%," Continental aroma and taste with hints of black tea, herbs and tobacco",23%,,,, Russia,,,12%,Low,,27%,,30%,Serebrianka,Aroma, Moderately resistant to downy mildew,Early,Retains 53% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.41 mL/100g,220 kg/hectare (200 lbs/acre),,,
